age,education,occupation,city,prior_recycling,infrastructure,area_type,EC1,EC2,EC3,EC4,EC5,AW1,AW2,AW3,AW4,AW5,FI1,FI2,FI3,FI4,FI5,PC1,PC2,PC3,PC4,PC5,ATT1,ATT2,ATT3,ATT4,ATT5,PBC1,PBC2,PBC3,PBC4,PBC5,RI1,RI2,RI3,RI4,RI5,age_num,age_split,edu_num,prior_recycling_num,EC_mean,AW_mean,FI_mean,PC_mean,ATT_mean,PBC_mean,RI_mean
18 - 24,Undergraduate (pursuing),Student,Ahmedabad,Never,No / I am unsure,Urban tier-2 city,2,2,3,2,2,1,1,2,1,1,3,3,2,3,2,3,3,3,2,3,3,2,3,2,2,2,1,2,2,2,2,1,2,1,2,21,Younger,2,1,2.2,1.2,2.6,2.8,2.4,1.8,1.6
35 - 44,High school/10+2,Homemaker,Nagpur,Never,No / I am unsure,Rural area,3,2,2,3,2,1,1,1,1,2,2,2,2,2,1,2,2,3,2,2,3,3,3,2,2,1,1,2,1,2,2,1,1,2,1,39,Older,1,1,2.4,1.2,1.8,2.2,2.6,1.4,1.4
25 - 34,Undergraduate (completed),Employed (private sector),Bengaluru,Rarely (a few times a year),"Yes, but inconsistently",Urban metro city,3,3,3,3,3,2,2,2,2,2,3,3,2,3,3,3,3,3,3,2,3,3,3,2,3,2,2,3,2,2,2,2,2,2,2,29,Older,3,2,3,2,2.8,2.8,2.8,2.2,2
Above,High school/10+2,Self-employed,Coimbatore,Never,No / I am unsure,Semi-urban/town,2,2,2,3,2,1,1,1,2,1,2,3,2,2,2,4,3,4,4,4,2,2,2,2,3,1,1,1,1,2,1,1,1,2,1,65,Older,1,1,2.2,1.2,2.2,3.8,2.2,1.2,1.2
18 - 24,Undergraduate (pursuing),Student,Thiruvananthapuram,Rarely (a few times a year),No / I am unsure,Semi-urban/town,4,4,3,4,4,3,2,3,2,2,4,4,3,4,3,2,2,3,2,2,4,4,4,3,4,1,1,2,1,2,2,2,2,2,2,21,Younger,2,2,3.8,2.4,3.6,2.2,3.8,1.4,2
Under 18,High school/10+2,Student,Banglore,Never,No / I am unsure,Urban metro city,5,5,5,5,5,1,3,5,3,1,3,5,5,2,3,5,5,5,4,5,5,5,3,5,4,3,3,3,5,3,5,5,4,2,5,16,Younger,1,1,5,2.6,3.6,4.8,4.4,3.4,4.2
45 - 60,Postgraduate,Homemaker,Bengaluru,Always (daily),"Yes, regularly",Urban metro city,5,5,4,5,5,4,3,5,3,5,5,5,5,5,5,2,2,2,2,1,5,5,5,5,4,5,5,5,5,5,5,5,5,5,3,52,Older,4,5,4.8,4,5,1.8,4.8,5,4.6
25 - 34,Postgraduate,Employed (private sector),Bengaluru,Sometimes (about once a month),"Yes, regularly",Urban metro city,4,4,4,4,4,4,4,4,3,4,4,5,4,4,5,5,5,5,5,5,4,4,3,4,3,3,3,3,3,3,2,2,3,2,2,29,Older,4,3,4,3.8,4.4,5,3.6,3,2.2
18 - 24,Undergraduate (pursuing),Student,Bangalore,Often (weekly),"Yes, regularly",Urban metro city,5,5,5,5,5,5,5,5,4,3,4,5,5,4,5,4,5,5,4,5,5,4,5,4,5,5,4,5,4,5,5,4,4,5,5,21,Younger,2,4,5,4.4,4.6,4.6,4.6,4.6,4.6
45 - 60,Undergraduate (completed),Homemaker,Kochi,Sometimes (about once a month),"Yes, but inconsistently",Urban tier-2 city,3,4,3,4,3,3,2,3,3,2,3,4,3,3,4,5,5,4,5,5,4,3,3,3,3,3,2,3,3,3,2,2,3,2,2,52,Older,3,3,3.4,2.6,3.4,4.8,3.2,2.8,2.2
